Make,Model,Year,MaintenanceCostYearly
bmw, 3 series,2017,835.94
ford, b-max,2015,695.18
ford, ka+,2016,516.71
mercedes, cla class,2014,1009.46
mercedes, gle class,2019,518.17
mercedes, gls class,2018,729.08
volkswagen, golf,2013,424.43
audi, rs6,2017,470.24
mercedes, slk,2004,1046.71
mercedes, gla class,2015,898.08
bmw, 5 series,2015,747.01
vauxhall, antara,2013,528.17
volkswagen, scirocco,2011,472.23
hyundai, kona,2017,611.64
toyota, corolla,2005,676.52
volkswagen, amarok,2013,698.5
vauxhall, gtc,2017,505.51
bmw, 3 series,2014,894.35
bmw, x6,2018,873.1
bmw, 3 series,2008,1124.87
mercedes, m class,2004,974.4
audi, rs6,2014,729.96
bmw, z3,2001,1632.08
mercedes, glc class,2016,831.71
mercedes, gl class,2013,1031.09
ford, galaxy,2019,441.81
mercedes, s class,2011,691.55
toyota, rav4,2005,566.41
toyota, prius,2009,498.27
ford, mondeo,2016,620.04
ford, focus,2005,616.46
toyota, prius,2014,593.32
vauxhall, antara,2007,696.24
audi, s4,2005,749.79
bmw, 5 series,2011,713.51
hyundai, ix35,2015,636.81
skoda, superb,2018,380.13
mercedes, x-class,2018,897.18
volkswagen, jetta,2015,539.21
audi, a7,2019,617.8
mercedes, s class,2017,831.96
vauxhall, antara,2014,618.71
volkswagen, tiguan,2011,483.03
vauxhall, viva,2019,428.76
vauxhall, zafira,2011,796.18
vauxhall, agila,2011,503.7
mercedes, sl class,2005,1292.71
toyota, yaris,2008,634.32
volkswagen, polo,2018,503.21
vauxhall, combo life,2018,591.18
audi, rs6,2015,750.83
audi, s3,2018,772.26
audi, rs7,2014,678.34
ford, fusion,2006,756.98
audi, a7,2016,575.59
bmw, z4,2006,855.6
vauxhall, zafira tourer,2015,692.82
volkswagen, caddy,2012,487.88
bmw, x1,2018,526.03
vauxhall, mokka x,2016,488.81
vauxhall, vivaro,2017,409.39
vauxhall, cascada,2013,738.29
audi, s4,2020,628.22
ford, fiesta,2013,590.23
mercedes, cla class,2020,627.96
audi, a5,2016,673.3
bmw, 8 series,2018,704.95
audi, q5,2020,576.5
bmw, 7 series,2008,778.38
ford, mondeo,2005,775.35
bmw, 5 series,2012,1110.6
audi, s3,2014,625.43
audi, tt,2004,801.5
mercedes, a class,2018,621.42
bmw, i8,2016,910.52
bmw, 6 series,2012,710.25
volkswagen, golf,2005,800.03
mercedes, e class,2018,836.96
skoda, karoq,2019,434.15
toyota, rav4,2020,379.29
volkswagen, scirocco,2013,474.71
audi, sq5,2018,649.5
ford, ecosport,2015,633.78
hyundai, santa fe,2017,446.7
volkswagen, golf,2016,386.64
ford, tourneo custom,2017,584.72
toyota, rav4,2016,366.15
toyota, avensis,2018,468.12
volkswagen, touran,2008,788.5
bmw, x6,2011,981.16
vauxhall, meriva,2015,421.32
volkswagen, beetle,2005,661.32
bmw, 4 series,2014,887.35
bmw, 4 series,2016,683.31
volkswagen, polo,2017,435.1
hyundai, i20,2013,468.14
toyota, camry,2019,514.64
bmw, x4,2017,774.92
bmw, x4,2018,511.11
skoda, octavia,2015,650.15
toyota, corolla,2007,724.06
bmw, m2,2019,679.93
ford, c-max,2006,852.53
volkswagen, golf,2007,828.01
bmw, i8,2014,636.17
ford, ecosport,2019,415.2
hyundai, i30,2014,517.88
hyundai, ioniq,2017,562.94
audi, a4,2014,575.79
audi, a8,2020,620.72
audi, a1,2012,705.34
bmw, z4,2019,649.14
mercedes, s class,2013,765.0
ford, fiesta,2017,618.69
hyundai, ix20,2010,662.19
audi, a3,2018,637.93
ford, s-max,2006,596.61
bmw, 6 series,2013,1044.45
ford, kuga,2011,774.38
skoda, rapid,2019,449.41
volkswagen, touran,2016,426.43
audi, a1,2016,708.9
audi, tt,2012,918.63
audi, s8,2015,736.07
audi, a3,2003,1333.56
bmw, m3,2005,998.26
mercedes, v class,2013,843.85
mercedes, e class,2011,731.3
toyota, avensis,2010,765.96
volkswagen, golf sv,2015,683.11
skoda, kamiq,2019,396.07
vauxhall, tigra,2006,713.63
volkswagen, golf,2018,460.02
bmw, z4,2011,819.62
ford, mondeo,2010,643.96
skoda, fabia,2019,517.96
audi, a7,2017,553.41
audi, s4,2004,904.47
audi, s8,2017,785.81
bmw, x1,2015,835.63
skoda, octavia,2013,628.97
vauxhall, mokka,2015,687.49
audi, q7,2015,658.63
audi, rs3,2018,660.55
audi, q2,2016,763.57
ford, mustang,2019,514.31
audi, a1,2015,767.78
audi, r8,2018,633.22
vauxhall, zafira,2018,337.94
volkswagen, passat,2015,425.0
bmw, 3 series,2013,660.62
volkswagen, golf,2015,687.67
bmw, m3,2010,848.97
hyundai, veloster,2013,527.91
volkswagen, up,2017,577.17
bmw, 1 series,2010,1076.57
hyundai, accent,2000,1176.55
bmw, z4,2013,925.82
hyundai, ix20,2011,625.87
skoda, citigo,2016,522.03
audi, a3,2019,500.1
bmw, m5,2019,646.71
toyota, yaris,2009,724.19
toyota, land cruiser,2004,656.84
mercedes, sl class,2003,1422.32
vauxhall, astra,2006,629.58
vauxhall, mokka,2019,518.04
volkswagen, t-roc,2017,409.84
volkswagen, jetta,2018,607.33
ford, ka+,2020,430.24
hyundai, ix35,2013,542.05
volkswagen, caravelle,2011,561.98
volkswagen, caravelle,2006,670.02
ford, galaxy,2009,810.8
skoda, superb,2015,582.47
vauxhall, corsa,2006,593.16
volkswagen, sharan,2018,593.76
ford, c-max,2014,515.52
ford, c-max,2011,561.64
mercedes, slk,2007,932.58
audi, a3,2020,445.57
hyundai, i30,2012,564.05
bmw, 2 series,2014,734.38
mercedes, c class,2018,506.05
skoda, superb,2007,596.74
vauxhall, corsa,2018,602.22
audi, a4,2019,732.75
audi, s3,2016,659.23
mercedes, e class,2015,982.45
toyota, yaris,2004,598.42
audi, q5,2019,705.57
vauxhall, agila,2013,595.81
volkswagen, polo,2013,742.2
mercedes, slk,2013,709.12
ford, tourneo connect,2016,467.12
ford, galaxy,2016,436.92
ford, focus,2011,774.22
mercedes, cls class,2017,716.46
ford, fiesta,2008,729.79
hyundai, i20,2017,522.72
skoda, citigo,2019,458.08
ford, grand tourneo connect,2016,414.19
audi, sq5,2013,755.69
bmw, x5,2015,677.5
skoda, yeti,2011,549.36
toyota, auris,2011,487.54
bmw, 7 series,2012,1096.84
vauxhall, astra,2011,605.31
ford, fiesta,2020,391.93
hyundai, tucson,2019,549.47
hyundai, i20,2010,493.81
mercedes, s class,2009,853.89
hyundai, getz,2008,713.42
volkswagen, passat,2008,634.54
hyundai, veloster,2014,590.12
volkswagen, polo,2012,551.96
bmw, x1,2016,860.64
bmw, x5,2008,997.9
vauxhall, corsa,2001,1061.16
volkswagen, caddy maxi life,2016,636.82
audi, rs4,2013,738.79
ford, ecosport,2020,405.2
mercedes, gle class,2020,675.18
toyota, aygo,2015,660.32
vauxhall, insignia,2011,773.34
audi, q7,2013,801.82
bmw, x1,2013,691.32
bmw, 6 series,2014,933.49
mercedes, gle class,2018,514.76
volkswagen, beetle,2006,565.83
volkswagen, caddy life,2020,392.43
bmw, 7 series,2006,951.09
ford, focus,2013,443.16
ford, galaxy,2008,614.9
mercedes, r class,2007,897.85
audi, q8,2019,753.2
bmw, x2,2018,664.52
vauxhall, meriva,2004,847.35
hyundai, ix20,2014,638.35
bmw, 3 series,2016,871.63
toyota, rav4,2019,375.47
audi, q5,2015,567.06
hyundai, i10,2012,551.06
vauxhall, astra,2008,764.73
audi, a5,2017,689.49
audi, a6,2014,845.52
bmw, x2,2020,750.38
ford, mondeo,2007,869.67
hyundai, ioniq,2020,428.34
mercedes, clk,2005,1083.0
volkswagen, eos,2006,556.5
vauxhall, astra,2020,373.96
audi, q5,2016,642.2
audi, a6,2007,1207.57
bmw, 1 series,2001,1582.68
toyota, auris,2007,549.23
ford, focus,2016,617.33
toyota, prius,2005,766.85
volkswagen, up,2012,780.0
bmw, 3 series,2000,1192.45
ford, grand c-max,2013,621.62
vauxhall, viva,2017,611.01
volkswagen, caddy,2016,399.07
toyota, rav4,2017,409.66
toyota, iq,2011,567.51
vauxhall, gtc,2016,467.94
volkswagen, jetta,2007,713.5
toyota, rav4,2006,816.6
audi, a8,2017,774.59
audi, a3,2008,724.38
mercedes, e class,2019,503.54
mercedes, x-class,2017,831.97
bmw, 5 series,2013,955.44
bmw, 7 series,2015,920.5
hyundai, i20,2012,494.95
vauxhall, astra,2003,974.25
ford, mondeo,2009,767.84
audi, a7,2020,617.86
audi, tt,2003,962.57
ford, kuga,2019,401.24
hyundai, ix20,2017,556.11
volkswagen, fox,2006,850.29
toyota, yaris,2019,521.0
toyota, yaris,2007,797.47
volkswagen, sharan,2017,416.67
hyundai, i20,2015,459.76
hyundai, ix35,2014,609.65
hyundai, veloster,2012,592.23
mercedes, v class,2010,757.23
ford, edge,2016,484.6
toyota, rav4,2012,658.21
vauxhall, astra,2005,970.61
audi, rs3,2019,582.6
audi, rs4,2014,779.02
vauxhall, grandland x,2018,587.56
ford, grand c-max,2018,458.43
volkswagen, tiguan,2017,425.74
ford, c-max,2007,532.64
mercedes, g class,2020,675.86
vauxhall, gtc,2014,650.51
toyota, yaris,2018,611.03
audi, q7,2018,699.96
ford, s-max,2020,443.19
vauxhall, adam,2019,509.52
audi, a6,2016,661.97
audi, a4,2017,595.38
ford, mondeo,2008,902.72
bmw, m6,2016,943.35
hyundai, i30,2018,512.75
mercedes, clk,2002,1338.02
audi, a6,2017,655.78
ford, c-max,2015,510.44
toyota, gt86,2018,426.11
volkswagen, polo,2008,726.28
volkswagen, jetta,2014,513.8
vauxhall, adam,2013,557.9
audi, q2,2018,674.36
audi, tt,2019,667.12
bmw, 3 series,2007,1377.17
hyundai, ix35,2011,610.68
bmw, m3,2017,732.32
toyota, land cruiser,2016,616.35
vauxhall, grandland x,2019,454.42
audi, a8,2012,666.57
vauxhall, corsa,2002,940.68
volkswagen, touareg,2008,718.22
skoda, superb,2016,624.31
toyota, yaris,2002,1155.51
toyota, aygo,2008,733.13
volkswagen, shuttle,2020,357.45
audi, q8,2018,738.02
audi, sq5,2019,673.22
ford, fiesta,2005,684.59
hyundai, tucson,2017,577.68
toyota, auris,2013,457.85
toyota, avensis,2011,651.29
audi, sq5,2015,835.7
toyota, verso,2008,889.86
volkswagen, polo,2009,588.57
volkswagen, up,2018,558.43
mercedes, a class,2003,940.3
skoda, roomster,2014,468.85
volkswagen, golf,2000,1160.17
volkswagen, jetta,2008,653.65
audi, a1,2020,708.02
bmw, m4,2017,595.92
bmw, m6,2015,820.54
ford, c-max,2016,521.97
bmw, 6 series,2015,666.31
bmw, m3,2018,836.1
mercedes, s class,2015,655.52
vauxhall, mokka,2012,500.76
ford, grand tourneo connect,2019,348.01
ford, galaxy,2014,397.16
mercedes, b class,2018,625.14
skoda, rapid,2017,573.35
mercedes, m class,2014,1037.36
skoda, octavia,2011,490.47
skoda, fabia,2004,631.57
bmw, x1,2014,646.26
mercedes, c class,2013,660.34
toyota, avensis,2014,472.4
vauxhall, vectra,2008,728.19
toyota, auris,2009,855.58
bmw, i8,2017,923.36
bmw, 1 series,2011,876.81
mercedes, slk,2005,1212.84
toyota, corolla,2008,809.45
mercedes, m class,2010,720.57
skoda, kodiaq,2020,445.95
skoda, rapid,2014,405.18
vauxhall, astra,2016,510.3
bmw, m5,2018,672.43
bmw, x3,2004,1274.38
ford, grand c-max,2012,760.09
mercedes, v class,2017,930.3
vauxhall, insignia,2009,716.56
hyundai, ix20,2016,533.66
mercedes, e class,2016,586.89
vauxhall, ampera,2014,655.6
audi, rs6,2018,618.23
bmw, x4,2015,806.4
ford, focus,2018,506.91
audi, tt,2002,1060.59
hyundai, i10,2010,643.37
skoda, kamiq,2020,477.34
mercedes, s class,1999,1408.85
audi, q3,2015,859.51
bmw, m4,2016,596.24
mercedes, slk,2014,1017.67
mercedes, r class,2011,1069.76
bmw, 5 series,2020,679.05
bmw, 3 series,2006,1412.63
volkswagen, touareg,2011,654.19
ford, fiesta,2018,522.56
hyundai, santa fe,2009,567.9
mercedes, m class,2012,680.14
vauxhall, corsa,2015,463.4
vauxhall, astra,2019,389.31
ford, kuga,2014,415.54
hyundai, ix20,2012,468.93
hyundai, santa fe,2010,516.85
mercedes, cla class,2017,642.55
bmw, 5 series,2017,619.72
ford, edge,2018,388.13
toyota, hilux,2012,723.65
volkswagen, caravelle,2020,345.81
mercedes, slk,2011,983.42
vauxhall, astra,2007,565.84
ford, ecosport,2016,527.31
toyota, yaris,2015,614.72
toyota, hilux,2018,524.05
ford, focus,2012,726.01
hyundai, i20,2019,436.41
mercedes, a class,2017,759.88
volkswagen, golf sv,2018,391.83
ford, c-max,2018,449.31
mercedes, b class,2008,1174.65
audi, rs4,2019,733.98
bmw, x5,2011,712.13
ford, grand c-max,2015,638.02
audi, q3,2020,720.56
vauxhall, tigra,2007,916.43
hyundai, ix20,2015,464.23
mercedes, cl class,2020,779.98
toyota, rav4,2015,386.23
bmw, x6,2015,710.65
ford, b-max,2018,377.05
ford, galaxy,2015,619.62
skoda, karoq,2020,443.1
audi, a3,2004,914.76
mercedes, b class,2012,1107.81
vauxhall, adam,2015,388.13
volkswagen, up,2016,394.43
bmw, 7 series,2017,629.02
skoda, fabia,2007,616.71
mercedes, s class,2012,719.04
volkswagen, polo,2006,701.58
volkswagen, tiguan,2018,418.02
vauxhall, zafira tourer,2018,451.09
mercedes, cl class,2019,834.79
volkswagen, touran,2020,427.25
volkswagen, touran,2011,693.22
audi, a1,2011,973.69
bmw, x3,2015,979.72
bmw, 2 series,2015,962.78
toyota, hilux,2013,448.67
vauxhall, corsa,2005,878.23
volkswagen, shuttle,2015,469.54
audi, a4,2006,879.54
audi, a3,1998,1062.65
ford, fusion,2010,577.88
mercedes, slk,1998,1149.78
toyota, auris,2019,426.21
audi, sq5,2017,750.32
ford, focus,2020,478.6
mercedes, cl class,2015,571.54
skoda, yeti,2016,635.16
bmw, x1,2020,648.92
bmw, x2,2019,628.07
vauxhall, astra,2009,514.76
volkswagen, amarok,2014,596.44
volkswagen, shuttle,2016,523.65
toyota, aygo,2005,612.94
bmw, 3 series,2004,1141.19
mercedes, m class,2008,1201.93
mercedes, gls class,2016,588.76
toyota, auris,2016,422.1
vauxhall, antara,2015,688.36
volkswagen, polo,2016,659.48
volkswagen, passat,2014,551.44
bmw, x1,2017,560.18
bmw, 1 series,2008,754.56
skoda, superb,2019,592.92
vauxhall, zafira,2015,444.01
audi, rs4,2006,895.25
vauxhall, insignia,2014,409.1
audi, rs5,2019,611.16
skoda, roomster,2013,549.73
volkswagen, sharan,2019,363.85
volkswagen, touran,2019,567.25
toyota, aygo,2018,368.41
ford, grand c-max,2011,722.21
ford, c-max,2012,578.58
ford, fiesta,2006,684.96
toyota, corolla,2020,319.56
bmw, x6,2017,799.96
mercedes, glc class,2017,924.56
toyota, prius,2020,337.57
hyundai, i20,2016,492.1
hyundai, i40,2014,507.08
vauxhall, agila,2004,982.5
audi, r8,2016,802.14
skoda, octavia,2008,872.11
volkswagen, passat,2007,949.2
skoda, octavia,2014,658.7
volkswagen, cc,2011,530.73
audi, a1,2019,561.76
bmw, 6 series,2020,623.44
mercedes, glc class,2015,955.47
toyota, iq,2013,745.28
toyota, verso,2016,419.68
volkswagen, touareg,2015,534.19
hyundai, santa fe,2014,507.24
vauxhall, astra,2001,955.66
vauxhall, zafira,2014,612.64
toyota, land cruiser,2008,594.55
volkswagen, passat,2018,405.7
volkswagen, beetle,2018,388.44
audi, r8,2014,699.06
audi, a4,2004,943.9
mercedes,230,2007,1306.5
toyota, aygo,2012,433.65
bmw, x4,2016,784.25
hyundai, i40,2013,568.05
hyundai, tucson,2008,864.0
volkswagen, caravelle,2018,593.36
audi, q2,2017,683.38
bmw, x5,2016,685.68
bmw, x3,2009,895.64
mercedes, c class,2006,1185.95
skoda, superb,2010,633.03
toyota, hilux,2017,408.67
vauxhall, astra,2012,649.39
vauxhall, vivaro,2018,351.79
volkswagen, caddy life,2017,563.84
bmw, x5,2019,807.42
ford, c-max,2008,658.6
mercedes, sl class,2016,547.65
skoda, yeti,2015,559.43
ford, focus,2017,638.32
audi, a6,2003,1153.13
mercedes, gla class,2014,819.27
mercedes, g class,2012,985.87
skoda, superb,2017,626.21
skoda, kodiaq,2018,516.83
audi, a7,2018,718.62
audi, a1,2010,679.82
hyundai, i40,2015,383.15
mercedes, cls class,2014,695.9
volkswagen, touareg,2020,393.07
ford, tourneo custom,2015,399.56
mercedes, b class,2020,706.98
vauxhall, zafira,2008,596.56
vauxhall, meriva,2008,894.81
audi, a6,2008,1119.08
bmw, 1 series,2016,779.55
bmw, 5 series,1996,2093.9
ford, ka+,2015,664.98
volkswagen, golf,2008,843.29
ford, ecosport,2018,422.53
skoda, rapid,2018,540.97
vauxhall, agila,2005,775.41
audi, a6,2011,767.31
bmw, 1 series,2012,904.88
bmw, m5,2016,568.27
toyota, prius,2013,679.79
vauxhall, cascada,2016,537.35
ford, kuga,2016,652.85
skoda, rapid,2016,476.84
toyota, avensis,2017,446.51
volkswagen, up,2019,501.37
audi, a7,2013,634.72
skoda, yeti,2017,510.84
skoda, roomster,2015,553.29
vauxhall, tigra,2009,837.27
toyota, corolla,2001,1041.97
volkswagen, polo,2014,661.34
audi, q5,2012,722.7
bmw, 7 series,2018,835.91
mercedes, cl class,2008,894.08
volkswagen, touareg,2019,504.31
audi, a8,2015,610.48
bmw, x4,2019,684.22
bmw, 1 series,2009,957.88
ford, ka+,2012,483.3
mercedes, m class,2013,979.39
skoda, fabia,2020,338.51
bmw, m5,2014,807.27
mercedes, gla class,2020,750.17
vauxhall, insignia,2019,340.71
vauxhall, corsa,2007,696.63
vauxhall, insignia,2013,575.06
ford, s-max,2012,502.32
hyundai, kona,2020,388.24
mercedes, cla class,2016,931.85
skoda, yeti outdoor,2017,517.49
hyundai, i10,2013,432.01
toyota, avensis,2003,733.38
volkswagen, shuttle,2014,715.97
mercedes, cls class,2012,979.55
skoda, citigo,2015,529.28
volkswagen, golf,2003,1070.06
audi, s4,2018,579.95
vauxhall, mokka,2018,568.85
toyota, yaris,2012,773.87
hyundai, i800,2017,553.16
mercedes, gl class,2018,544.62
volkswagen, t-roc,2019,593.9
mercedes, sl class,2007,836.34
bmw, x6,2020,756.36
volkswagen, golf,2017,353.2
hyundai, terracan,2003,644.61
mercedes, glc class,2019,589.55
toyota, land cruiser,2020,469.16
audi, a4,2020,674.92
volkswagen, touareg,2007,592.59
audi, a5,2008,1014.05
hyundai, santa fe,2011,478.91
audi, q5,2017,738.64
hyundai, i20,2014,624.2
hyundai, i40,2012,632.95
volkswagen, passat,2006,749.27
audi, tt,2014,691.59
bmw, 5 series,2008,1270.25
toyota, auris,2018,462.21
volkswagen, cc,2016,462.89
volkswagen, golf sv,2019,409.31
hyundai, terracan,2005,865.11
mercedes, slk,2018,751.22
toyota, verso-s,2013,728.4
volkswagen, up,2015,685.19
vauxhall, corsa,2013,662.59
audi, q3,2014,749.49
ford, fiesta,2019,496.19
mercedes, cls class,2019,564.42
ford, s-max,2017,594.87
volkswagen, fox,2008,907.67
vauxhall, mokka x,2017,448.58
volkswagen, beetle,2015,497.82
bmw, x6,2019,556.67
bmw, m3,2013,813.98
mercedes, g class,2019,808.98
mercedes, cl class,2002,1414.18
hyundai, getz,2003,806.76
toyota, gt86,2012,683.91
volkswagen, caddy maxi life,2018,575.12
bmw, x3,2016,666.0
skoda, fabia,2011,608.33
audi, s3,2015,640.89
hyundai, i30,2010,768.47
mercedes, s class,2002,1397.33
volkswagen, caddy maxi life,2014,499.55
vauxhall, zafira,2005,890.03
vauxhall, gtc,2018,610.24
bmw, 7 series,2016,763.02
volkswagen, golf,2009,679.27
mercedes, e class,2007,857.28
volkswagen, golf,2010,750.72
volkswagen, passat,2009,661.22
audi, a6,2013,950.2
audi, a3,2006,1221.95
mercedes, s class,2018,895.91
vauxhall, meriva,2003,808.07
toyota, yaris,1999,1048.62
toyota, aygo,2013,604.85
audi, a1,2017,787.98
audi, rs5,2017,697.66
bmw, 6 series,2005,1435.94
mercedes, gl class,2016,567.87
volkswagen, tiguan,2016,619.52
hyundai, i30,2017,503.71
toyota, gt86,2014,447.54
toyota, rav4,2010,488.24
toyota, aygo,2016,490.41
audi, a4,2011,906.82
mercedes, gle class,2017,863.62
mercedes, m class,1970,4560.46
toyota, rav4,2002,868.56
vauxhall, zafira,2012,484.47
vauxhall, meriva,2009,640.44
volkswagen, shuttle,2018,539.95
hyundai, santa fe,2019,332.15
mercedes, e class,2020,575.74
skoda, fabia,2013,671.36
skoda, fabia,2010,523.76
bmw, m6,2018,670.08
skoda, kodiaq,2017,521.15
audi, a4,2005,1075.82
bmw, 1 series,2018,519.44
bmw, z3,1999,1697.35
vauxhall, agila,2012,522.27
ford, mondeo,2019,354.44
mercedes, gls class,2020,496.84
skoda, citigo,2018,408.96
toyota, yaris,2020,498.14
bmw, z3,2002,1106.5
mercedes, slk,2008,947.62
toyota, verso,2013,467.88
volkswagen, golf sv,2017,503.59
audi, tt,2007,868.4
audi, a4,2010,896.39
mercedes, c class,2020,511.65
vauxhall, zafira,2007,649.39
bmw, 8 series,2020,775.37
skoda, yeti outdoor,2015,555.55
volkswagen, passat,2017,605.26
volkswagen, sharan,2014,563.59
skoda, yeti,2014,601.67
volkswagen, caddy maxi life,2017,536.94
audi, a8,2006,1246.38
ford, grand c-max,2019,360.7
hyundai, i10,2020,536.54
mercedes, gl class,2017,664.1
